feature,mean_abs_shap
rate_w13,0.23086769558512085
n_events_w52,0.2223764848997135
q4_rate_w13,0.1679069638075636
regime_daily,0.1331769483811494
r13_w13,0.10863268226698854
tone_sum_w52,0.10150073639443946
rate_w1,0.10004960679651001
r11_w13,0.07507295082099802
q3_w52,0.07396522821981769
goldstein_mean_w13,0.07178582599299546
tone_wmean_w4,0.06389100948888961
n_mentions_w52,0.06194094855473154
goldstein_sum_w52,0.05901164037858258
q3_share_w4,0.0534151586703262
r15_w13,0.05314101314464918
goldstein_wsum_w13,0.051108523193577435
r11_share_w4,0.047895682601516054
days_since_icb_onset,0.04693885700008311
q4_rate_w4,0.037177436076671865
tone_mean_w4,0.03709940596944465
goldstein_sum_w13,0.035519299327073435
rate_w4,0.03141403659856651
r12_w13,0.02658964030498154
q4_w52,0.024836320062767304
tone_mean_w13,0.024659386080934126
q2_w13,0.01999285477941268
tone_delta_4_52,0.01932185812191032
q4_share_w13,0.018474826420599368
r18_w13,0.017036002268257234
r17_w13,0.015993540077751427
q4_m_w13,0.015501080305975558
r16_w13,0.01506467514416096
ev_ratio_4_52,0.014544447640551227
ev_ratio_1_13,0.01428567333688283
r15_share_w4,0.013868040251039339
goldstein_mean_w4,0.013804861551656899
root_share_w4,0.013206380902442378
q4_m_w4,0.013031321875367327
q3_w13,0.012679558419031485
q3_w1,0.01229009948119218
r14_share_w4,0.012247070719325738
n_mentions_w13,0.011899137424655686
icb_prior_crises,0.01151866925154739
q4_ratio_1_13,0.0114282049816156
tone_sum_w13,0.011186234894410042
r14_w13,0.010417975760659323
goldstein_sum_w4,0.010405543175848245
q1_share_w4,0.009358392040197663
q4_mention_share_w4,0.009165012260780488
r19_share_w4,0.009052257965323014
goldstein_wsum_w1,0.008492520424640137
r13_share_w4,0.008398283311625107
conflict_share_w4,0.00836517754469628
tone_wsum_w13,0.008347226574410517
r16_share_w4,0.008266953797809187
r17_share_w4,0.008168821549609614
goldstein_wmean_w4,0.008153278223619451
r12_w4,0.007442451597589778
goldstein_delta_4_52,0.007321774343756902
q2_w4,0.007261994878098263
q4_share_w4,0.007096961714606509
r19_w13,0.006411975934350354
q4_ratio_4_52,0.006105416421889583
goldstein_wsum_w4,0.00594020478024525
q4_ab_w13,0.005908517641163201
goldstein_delta_1_13,0.005269438125716872
r19_w4,0.005097520277924839
q4_ba_w4,0.005057869140707867
goldstein_sum_w1,0.004728012151564513
r12_share_w4,0.004626375499813934
n_root_w13,0.004554289899496309
r15_w1,0.004457022488316372
tone_sum_w4,0.0041848456644296055
r10_w13,0.00395897576429666
q2_w1,0.003936708306364792
r14_w4,0.003732740837748117
q4_ab_w4,0.0037127856439187036
n_events_w4,0.003473442073719154
n_mentions_w4,0.0030865897596157135
r17_w4,0.003076111810269965
r11_w1,0.0029120939640602944
r10_share_w4,0.002856374516687722
q4_base_4w,0.0028534704377111567
q4_asym_w4,0.0028205509128501802
n_root_w4,0.0027986314396394687
r10_w1,0.0027153464308007367
r18_share_w4,0.0026705997764318026
q4_w4,0.0025070604983925817
q4_ba_w13,0.002444196255804605
r11_w4,0.0023399022518464474
tone_wsum_w4,0.00232459532808094
r20_share_w4,0.002286252967138273
q1_w13,0.002214432539044969
r16_w4,0.0020906472862272105
q4_share_w1,0.0017723129143513393
tone_wsum_w1,0.0016583871078158078
n_mentions_w1,0.0015889698346979412
r15_w4,0.0015644951783203812
r18_w4,0.001563337685604504
n_events_w13,0.001481847827760262
q3_w4,0.0014314684994097028
r20_w13,0.0011365292203290298
q1_w4,0.0010819047267078621
goldstein_mean_w1,0.0010297210498351364
tone_sum_w1,0.0009555584471620924
q4_w13,0.0009137094652115276
r19_w1,0.0007740958465168842
r10_w4,0.000761406123947779
q4_w1,0.0006515477746198671
q4_m_w1,0.0005232167149298841
n_root_w1,0.0004246635570186831
q1_w1,0.0003974921852921287
q4_ba_w1,0.00034843725580277073
r16_w1,0.00031491412536992957
r17_w1,0.00030041151067169557
r13_w4,0.0002678956434318845
r20_w4,0.00016378306978748279
r18_w1,6.672813024014997e-05
r13_w1,3.6355409822360265e-05
r14_w1,0.0
r20_w1,0.0
r12_w1,0.0
q4_ab_w1,0.0
n_events_w1,0.0
