iso3,name,iso_num,region,subregion,lat,lon
MMR,Myanmar,104,Asia,South-eastern Asia,19.90122793139988,97.08892285397344
NAM,Namibia,516,Africa,Sub-Saharan Africa,-21.90858163281473,18.16451345845268
NRU,Nauru,520,Oceania,Micronesia,-0.5221021440668993,166.92937633139178
NPL,Nepal,524,Asia,Southern Asia,28.300920699755657,84.1338898313567
NLD,"Netherlands, Kingdom of the",528,Europe,Western Europe,52.134054128923886,5.554136426128487
NCL,New Caledonia,540,Oceania,Melanesia,-21.33003372660827,165.50767040438612
NZL,New Zealand,554,Oceania,Australia and New Zealand,-43.82765432544426,170.69035541428696
NIC,Nicaragua,558,Americas,Latin America and the Caribbean,12.893566631930554,-85.016088327669
NER,Niger,562,Africa,Sub-Saharan Africa,17.08105392407292,8.86863247002646
NGA,Nigeria,566,Africa,Sub-Saharan Africa,9.61029352034213,8.147714845256194
NIU,Niue,570,Oceania,Polynesia,-19.05230921680393,-169.86878106699083
NFK,Norfolk Island,574,Oceania,Australia and New Zealand,-29.03765444504628,167.95259597483337
MKD,North Macedonia,807,Europe,Southern Europe,41.59402890143112,21.70998923872772
MNP,Northern Mariana Islands,580,Oceania,Micronesia,15.178063516432116,145.74119737203134
NOR,Norway,578,Europe,Northern Europe,64.97775882947745,16.670259272390894
OMN,Oman,512,Asia,Western Asia,20.7242833183209,55.841088119829
PAK,Pakistan,586,Asia,Southern Asia,30.11618837141088,69.08835090769651
PLW,Palau,585,Oceania,Micronesia,7.534775852547396,134.57965086721052
PSE,Palestine,275,Asia,Western Asia,31.930818736453883,35.24251184154588
PAN,Panama,591,Americas,Latin America and the Caribbean,8.439536749576892,-80.14428761482796
PNG,Papua New Guinea,598,Oceania,Melanesia,-7.156912819152135,144.8348942994695
PRY,Paraguay,600,Americas,Latin America and the Caribbean,-23.42190559259428,-58.38906357428651
PER,Peru,604,Americas,Latin America and the Caribbean,-8.522717984240291,-74.11416196781884
PHL,Philippines,608,Asia,South-eastern Asia,15.586542251094242,121.82208941416744
PCN,Pitcairn,612,Oceania,Polynesia,-24.36612174756545,-128.3149848627581
POL,Poland,616,Europe,Eastern Europe,52.06848055692473,19.43573279234468
PRT,Portugal,620,Europe,Southern Europe,39.67529214702138,-7.933662183874006
PRI,Puerto Rico,630,Americas,Latin America and the Caribbean,18.216224086610914,-66.49425339593509
QAT,Qatar,634,Asia,Western Asia,25.318528486425382,51.19794918743203
REU,Réunion,638,Africa,Sub-Saharan Africa,-21.119825460665105,55.54393506194689
ROU,Romania,642,Europe,Eastern Europe,45.82454894397586,25.09415820156329
RUS,Russia,643,Europe,Eastern Europe,59.039434214106194,98.6704990698032
RWA,Rwanda,646,Africa,Sub-Saharan Africa,-2.014687460047154,29.91943968176408
BLM,Saint Barthélemy,652,Americas,Latin America and the Caribbean,17.90561691241738,-62.83051610005156
SHN,"Saint Helena, Ascension and Tristan da Cunha",654,Africa,Sub-Saharan Africa,-15.962963318340398,-5.717391620813109
KNA,Saint Kitts and Nevis,659,Americas,Latin America and the Caribbean,17.314736299587768,-62.74560385895787
LCA,Saint Lucia,662,Americas,Latin America and the Caribbean,13.895749185129906,-60.9689510935251
MAF,Saint Martin,663,Americas,Latin America and the Caribbean,18.078012113224464,-63.06678525361946
SPM,Saint Pierre and Miquelon,666,Americas,Northern America,46.95153913615198,-56.32465353437558
VCT,Saint Vincent and the Grenadines,670,Americas,Latin America and the Caribbean,13.254808122970651,-61.19376635439304
WSM,Samoa,882,Oceania,Polynesia,-13.634252953274622,-172.44107655740137
SMR,San Marino,674,Europe,Southern Europe,43.942820729097896,12.461278349581722
STP,Sao Tome and Principe,678,Africa,Sub-Saharan Africa,0.2274470429479377,6.606158796857607
SAU,Saudi Arabia,682,Asia,Western Asia,24.136038144757897,44.6009581782256
SEN,Senegal,686,Africa,Sub-Saharan Africa,14.228861491763402,-14.610875368352303
SRB,Serbia,688,Europe,Southern Europe,44.02679870131969,20.85677444395745
SYC,Seychelles,690,Africa,Sub-Saharan Africa,-4.660002318822744,55.47250789595527
SLE,Sierra Leone,694,Africa,Sub-Saharan Africa,8.561330384750587,-11.78656695731115
SGP,Singapore,702,Asia,South-eastern Asia,1.3528251890006349,103.81025757634052
SXM,Sint Maarten,534,Americas,Latin America and the Caribbean,18.03942608463078,-63.06883135915303
SVK,Slovakia,703,Europe,Eastern Europe,48.69808390520484,19.58101536249097
SVN,Slovenia,705,Europe,Southern Europe,46.13759229564504,14.89063689997378
SLB,Solomon Islands,090,Oceania,Melanesia,-9.613104734596517,160.16475795033884
SOM,Somalia,706,Africa,Sub-Saharan Africa,6.524534573103924,45.40037867243972
ZAF,South Africa,710,Africa,Sub-Saharan Africa,-28.55361930679731,24.75252746489084
SGS,South Georgia and the South Sandwich Islands,239,Americas,Latin America and the Caribbean,-54.37666443862139,-36.77509575898928
SSD,South Sudan,728,Africa,Sub-Saharan Africa,7.657782041763295,30.3851856901788
ESP,Spain,724,Europe,Southern Europe,40.36500833668384,-3.6516251409956975
ESP,Spain,724,Europe,Southern Europe,28.297665106525542,-16.53799441021647
LKA,Sri Lanka,144,Asia,Southern Asia,7.696630939329944,80.66931169770622
SDN,Sudan,729,Africa,Northern Africa,15.67060230984256,29.951458283594064
SUR,Suriname,740,Americas,Latin America and the Caribbean,4.098723595920171,-55.855514311561286
SJM,Svalbard and Jan Mayen,744,Europe,Northern Europe,78.57318936469626,16.036378851505283
SWE,Sweden,752,Europe,Northern Europe,62.73420986108448,17.062431988004956
CHE,Switzerland,756,Europe,Western Europe,46.73678128684938,8.286928794895285
SYR,Syria,760,Asia,Western Asia,35.09751106058316,38.5117323139514
TWN,Taiwan,158,Asia,Eastern Asia,23.7,121.0
TJK,Tajikistan,762,Asia,Central Asia,38.56933138382972,70.94215281065698
TZA,Tanzania,834,Africa,Sub-Saharan Africa,-6.355794440041147,34.81832206060381
