feature,mean_abs_shap
q4_w52,0.39946573685264053
q4_w13,0.19217325223205997
q4_ratio_4_52,0.09100935541914196
q4_base_4w,0.07470233141296136
ev_ratio_4_52,0.07133748300462152
q3_w13,0.0629187990069262
q3_w52,0.061095450222386424
n_events_w1,0.05429220608881536
q4_m_w13,0.052361641975183476
q2_w13,0.03699491758616072
tone_sum_w52,0.034979417919582576
root_share_w4,0.032826823465068974
q4_ratio_1_13,0.03259957814190385
tone_mean_w13,0.03093966934589004
n_mentions_w1,0.027870123891157336
q1_share_w4,0.026833285234891768
q3_w1,0.026606837612152375
goldstein_mean_w1,0.024270832104519715
ev_ratio_1_13,0.02355662881825257
tone_delta_4_52,0.023539489002927863
n_events_w4,0.022271675695454005
q3_w4,0.021970176060648737
goldstein_mean_w13,0.019733955317552176
n_mentions_w13,0.018745489001408523
r13_w13,0.01863291688819284
q4_m_w1,0.01778273460316456
rate_w13,0.01725425926601109
tone_mean_w4,0.016912318058979286
q4_w4,0.016471240626690583
q4_m_w4,0.01628136093711111
tone_sum_w1,0.01598143346798789
rate_w4,0.01582075541403303
n_root_w13,0.015242830356445218
r18_w13,0.014693370374104424
q4_rate_w13,0.014676666471043969
n_events_w13,0.014435789075251183
regime_daily,0.012669770663354103
n_mentions_w52,0.012616221928164693
tone_wmean_w4,0.011174292680200726
conflict_share_w4,0.011140836469980259
tone_sum_w13,0.010602766050520896
goldstein_sum_w52,0.010454501341406266
r16_share_w4,0.010424670250747402
q4_w1,0.010273333545072571
r13_share_w4,0.008937724455766198
days_since_icb_onset,0.008802262360590502
tone_sum_w4,0.008694501518415927
r12_share_w4,0.00862752829437339
r15_w13,0.008279556076803415
q4_share_w13,0.008261979256139208
n_mentions_w4,0.008121849469349154
q4_ab_w4,0.007438509097244503
r11_w13,0.0068840247832617565
n_events_w52,0.006737568124495913
q4_rate_w4,0.006603966187585922
q3_share_w4,0.005202993208526291
goldstein_wsum_w1,0.005148211745869802
n_root_w1,0.004936164519798907
r10_w13,0.004719323478566603
q4_share_w1,0.004435609709640045
tone_wsum_w13,0.00438597364299609
q2_w1,0.0041989138559577885
goldstein_delta_1_13,0.004151371645695767
q4_ab_w13,0.004033051508647734
goldstein_wmean_w4,0.0033992256910743797
r15_share_w4,0.0032820717078954754
r14_share_w4,0.0032312610475216806
r13_w1,0.0031602061646912325
r19_share_w4,0.0031567484739837555
r17_share_w4,0.002954054650008524
tone_wsum_w1,0.002787518450839466
r17_w13,0.0025864694614859897
q4_ba_w13,0.002571786591905485
goldstein_sum_w13,0.0024928820626678705
r17_w4,0.0024763899822812427
r11_share_w4,0.002447089081562258
r18_share_w4,0.0024435063701597603
q4_share_w4,0.002414844081994067
r14_w1,0.00234438685466653
q2_w4,0.002325469664290601
goldstein_wsum_w13,0.0022543054525682384
rate_w1,0.0022231638098474003
r19_w13,0.002123736775592028
r19_w4,0.002057015332529533
r14_w13,0.0019436617505899445
r12_w13,0.0019410513042629278
q1_w13,0.0018297619039089762
tone_wsum_w4,0.001741290673361339
r16_w13,0.0015100664373125304
r18_w1,0.0015008954862373602
q1_w1,0.0014314502844244698
r15_w1,0.0013894947125270226
n_root_w4,0.0013675213574795375
goldstein_mean_w4,0.001315926139861455
q4_ba_w4,0.001199610849178306
goldstein_wsum_w4,0.0011276425825976024
r10_w1,0.0010736138459470478
r10_share_w4,0.0010558876469359123
icb_prior_crises,0.0009600904289080675
q1_w4,0.0009112105359215643
goldstein_sum_w4,0.0008088949248578664
q4_asym_w4,0.0007990410610537255
r18_w4,0.0007415539971794873
r14_w4,0.0007352674642136267
r12_w4,0.0007017234281219219
r11_w4,0.000627350547205024
r19_w1,0.0006048878268557546
r13_w4,0.0004466683641040305
goldstein_sum_w1,0.00041535183851580367
r15_w4,0.000405875435673484
q4_mention_share_w4,0.00039009622994810525
r11_w1,0.00037076016862970393
goldstein_delta_4_52,0.00033593265015961955
q4_ba_w1,0.00029822674096153607
r20_share_w4,0.00027221849768501344
r20_w13,0.0002694041723441897
r17_w1,0.00014180365635094945
r16_w4,0.0001037543336852026
r12_w1,6.27611822220593e-05
r10_w4,5.521034078286714e-05
r16_w1,8.052966856095211e-06
r20_w4,0.0
q4_ab_w1,0.0
r20_w1,0.0
